# Calibration file of tamex_id 0 @ channel 5
# fine_T bin		 Calibration value
0.1		0
0.2		0
0.3		0
0.4		0
0.5		0
0.6		0
0.7		0
0.8		0
0.9		0
1		0
1.1		0
1.2		0
1.3		0
1.4		0
1.5		0
1.6		0
1.7		0
1.8		0
1.9		0
2		0
2.1		0
2.2		0
2.3		0
2.4		0
2.5		0
2.6		0
2.7		0
2.8		0
2.9		0
3		0
3.1		0
3.2		0
3.3		0
3.4		0
3.5		0
3.6		0
3.7		0
3.8		0
3.9		0
4		0
4.1		0
4.2		0
4.3		0
4.4		0
4.5		0
4.6		0
4.7		0
4.8		0
4.9		0
5		0
5.1		0
5.2		0
5.3		0
5.4		0
5.5		0
5.6		0
5.7		0
5.8		0
5.9		0
6		0
6.1		0
6.2		0
6.3		0
6.4		0
6.5		0
6.6		0
6.7		0
6.8		0
6.9		0
7		0
7.1		0
7.2		0
7.3		0
7.4		0
7.5		0
7.6		0
7.7		0
7.8		0
7.9		0
8		0
8.1		0
8.2		0
8.3		0
8.4		0
8.5		0
8.6		0
8.7		0
8.8		0
8.9		0
9		0
9.1		0
9.2		0
9.3		0
9.4		0
9.5		0
9.6		0
9.7		0
9.8		0
9.9		0
10		0
10.1		0
10.2		0
10.3		0
10.4		0
10.5		0
10.6		0
10.7		0
10.8		0
10.9		0
11		0
11.1		0
11.2		0
11.3		0
11.4		0
11.5		0
11.6		0
11.7		0
11.8		0
11.9		0
12		0
12.1		0
12.2		0
12.3		0
12.4		0
12.5		0
12.6		0
12.7		0
12.8		0
12.9		0
13		0
13.1		0
13.2		0
13.3		0
13.4		0
13.5		0
13.6		0
13.7		0
13.8		0
13.9		0
14		0
14.1		0
14.2		0
14.3		0
14.4		0
14.5		0
14.6		0
14.7		0
14.8		0
14.9		0
15		0
15.1		0
15.2		0
15.3		0
15.4		0
15.5		0
15.6		0
15.7		0
15.8		0
15.9		0
16		0
16.1		0
16.2		0
16.3		0
16.4		0
16.5		0
16.6		0
16.7		0
16.8		0
16.9		0
17		0
17.1		0.0059485
17.2		0.0059485
17.3		0.0059485
17.4		0.0059485
17.5		0.0059485
17.6		0.0059485
17.7		0.0059485
17.8		0.0059485
17.9		0.0059485
18		0.0059485
18.1		0.00742478
18.2		0.00742478
18.3		0.00742478
18.4		0.00742478
18.5		0.00742478
18.6		0.00742478
18.7		0.00742478
18.8		0.00742478
18.9		0.00742478
19		0.00742478
19.1		0.00894447
19.2		0.00894447
19.3		0.00894447
19.4		0.00894447
19.5		0.00894447
19.6		0.00894447
19.7		0.00894447
19.8		0.00894447
19.9		0.00894447
20		0.00894447
20.1		0.0129825
20.2		0.0129825
20.3		0.0129825
20.4		0.0129825
20.5		0.0129825
20.6		0.0129825
20.7		0.0129825
20.8		0.0129825
20.9		0.0129825
21		0.0129825
21.1		0.0164127
21.2		0.0164127
21.3		0.0164127
21.4		0.0164127
21.5		0.0164127
21.6		0.0164127
21.7		0.0164127
21.8		0.0164127
21.9		0.0164127
22		0.0164127
22.1		0.0173245
22.2		0.0173245
22.3		0.0173245
22.4		0.0173245
22.5		0.0173245
22.6		0.0173245
22.7		0.0173245
22.8		0.0173245
22.9		0.0173245
23		0.0173245
23.1		0.0182797
23.2		0.0182797
23.3		0.0182797
23.4		0.0182797
23.5		0.0182797
23.6		0.0182797
23.7		0.0182797
23.8		0.0182797
23.9		0.0182797
24		0.0182797
24.1		0.018931
24.2		0.018931
24.3		0.018931
24.4		0.018931
24.5		0.018931
24.6		0.018931
24.7		0.018931
24.8		0.018931
24.9		0.018931
